Valores iniciais calculados:
Temperatura Inicial Média: 22.2 °C
Humidade Inicial Média: 57.0 %
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 64.0 %   | ON      | 0:46    |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 64.0 %   | ON      | 0:47    |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 66.0 %   | ON      | 0:48    |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 66.0 %   | ON      | 0:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 68.0 %   | ON      | 0:50    |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 68.0 %   | ON      | 0:51    |
| 22.2 °C             | 57.0 %           | 23.5 °C     | OFF      | 69.0 %   | ON      | 0:52    |
| 22.2 °C             | 57.0 %           | 23.5 °C     | OFF      | 69.0 %   | ON      | 0:53    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 69.0 %   | ON      | 0:54    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 69.0 %   | ON      | 0:55    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 70.0 %   | ON      | 0:56    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 70.0 %   | ON      | 0:57    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 70.0 %   | ON      | 0:58    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 70.0 %   | ON      | 0:59    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 70.0 %   | ON      | 1:00    |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 70.0 %   | ON      | 1:01    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 70.0 %   | ON      | 1:02    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 70.0 %   | ON      | 1:03    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 71.0 %   | ON      | 1:04    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 71.0 %   | ON      | 1:05    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 71.0 %   | ON      | 1:06    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 71.0 %   | ON      | 1:07    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 71.0 %   | ON      | 1:08    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 71.0 %   | ON      | 1:09    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 72.0 %   | ON      | 1:10    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 72.0 %   | ON      | 1:11    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 72.0 %   | ON      | 1:12    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 72.0 %   | ON      | 1:13    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 72.0 %   | ON      | 1:14    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 72.0 %   | ON      | 1:15    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 72.0 %   | ON      | 1:16    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 73.0 %   | ON      | 1:17    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 73.0 %   | ON      | 1:18    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 73.0 %   | ON      | 1:19    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 73.0 %   | ON      | 1:20    |
| 22.2 °C             | 57.0 %           | 24.9 °C     | OFF      | 72.0 %   | ON      | 1:21    |
| 22.2 °C             | 57.0 %           | 24.9 °C     | OFF      | 72.0 %   | ON      | 1:22    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 72.0 %   | ON      | 1:23    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 72.0 %   | ON      | 1:24    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 72.0 %   | ON      | 1:25    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 72.0 %   | ON      | 1:26    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:27    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:28    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:30    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:31    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:32    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:33    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:34    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:35    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:36    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:37    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 73.0 %   | ON      | 1:38    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 1:39    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 1:40    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 1:41    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 1:42    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 1:43    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 1:44    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 1:45    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 1:46    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 72.0 %   | ON      | 1:47    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 72.0 %   | ON      | 1:48    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 72.0 %   | ON      | 1:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 72.0 %   | ON      | 1:50    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 69.0 %   | ON      | 1:51    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 69.0 %   | ON      | 1:52    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 66.0 %   | ON      | 1:53    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 66.0 %   | ON      | 1:54    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 66.0 %   | ON      | 1:55    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 66.0 %   | ON      | 1:56    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 65.0 %   | ON      | 1:57    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 65.0 %   | ON      | 1:58    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 65.0 %   | ON      | 1:59    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 65.0 %   | ON      | 2:00    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 64.0 %   | ON      | 2:01    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 64.0 %   | ON      | 2:02    |
| 22.2 °C             | 57.0 %           | 26.3 °C     | OFF      | 63.0 %   | ON      | 2:03    |
| 22.2 °C             | 57.0 %           | 26.3 °C     | OFF      | 63.0 %   | ON      | 2:04    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 63.0 %   | ON      | 2:05    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 63.0 %   | ON      | 2:06    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 63.0 %   | ON      | 2:07    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 63.0 %   | ON      | 2:08    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 63.0 %   | ON      | 2:09    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 63.0 %   | ON      | 2:10    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 63.0 %   | ON      | 2:11    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 63.0 %   | ON      | 2:12    |
| 22.2 °C             | 57.0 %           | 26.8 °C     | OFF      | 63.0 %   | ON      | 2:13    |
| 22.2 °C             | 57.0 %           | 26.8 °C     | OFF      | 63.0 %   | ON      | 2:14    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 63.0 %   | ON      | 2:15    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 63.0 %   | ON      | 2:16    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 61.0 %   | OFF     | 2:17    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 61.0 %   | OFF     | 2:18    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 60.0 %   | OFF     | 2:19    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 60.0 %   | OFF     | 2:20    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 60.0 %   | OFF     | 2:21    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 60.0 %   | OFF     | 2:22    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:23    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:24    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:25    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:26    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:27    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:28    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:30    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:31    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:32    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:33    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:34    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:35    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:36    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:37    |
| 22.2 °C             | 57.0 %           | 27.2 °C     | ON       | 62.0 %   | ON      | 2:38    |
| 22.2 °C             | 57.0 %           | 27.2 °C     | ON       | 62.0 %   | ON      | 2:39    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 67.0 %   | ON      | 2:40    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 67.0 %   | ON      | 2:41    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 66.0 %   | ON      | 2:42    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 66.0 %   | ON      | 2:43    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 65.0 %   | ON      | 2:44    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 65.0 %   | ON      | 2:45    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 64.0 %   | ON      | 2:46    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 64.0 %   | ON      | 2:47    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 63.0 %   | ON      | 2:48    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 63.0 %   | ON      | 2:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 62.0 %   | ON      | 2:50    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 62.0 %   | ON      | 2:51    |
| 22.2 °C             | 57.0 %           | 27.2 °C     | ON       | 62.0 %   | ON      | 2:52    |
| 22.2 °C             | 57.0 %           | 27.2 °C     | ON       | 62.0 %   | ON      | 2:53    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 61.0 %   | OFF     | 2:54    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 61.0 %   | OFF     | 2:55    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 60.0 %   | OFF     | 2:56    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 60.0 %   | OFF     | 2:57    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:58    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 59.0 %   | OFF     | 2:59    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 58.0 %   | OFF     | 3:00    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 58.0 %   | OFF     | 3:01    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 57.0 %   | OFF     | 3:02    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 57.0 %   | OFF     | 3:03    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 57.0 %   | OFF     | 3:04    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 57.0 %   | OFF     | 3:05    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 57.0 %   | OFF     | 3:06    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 57.0 %   | OFF     | 3:07    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 57.0 %   | OFF     | 3:08    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 57.0 %   | OFF     | 3:09    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 56.0 %   | OFF     | 3:10    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 56.0 %   | OFF     | 3:11    |
| 22.2 °C             | 57.0 %           | 26.5 °C     | OFF      | 56.0 %   | OFF     | 3:12    |
| 22.2 °C             | 57.0 %           | 26.5 °C     | OFF      | 56.0 %   | OFF     | 3:13    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 56.0 %   | OFF     | 3:14    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 56.0 %   | OFF     | 3:15    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 56.0 %   | OFF     | 3:16    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 56.0 %   | OFF     | 3:17    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 55.0 %   | OFF     | 3:18    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 55.0 %   | OFF     | 3:19    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 55.0 %   | OFF     | 3:20    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 55.0 %   | OFF     | 3:21    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 54.0 %   | OFF     | 3:22    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 54.0 %   | OFF     | 3:23    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 3:24    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 3:25    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 3:26    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 3:27    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 3:28    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 3:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 53.0 %   | OFF     | 3:30    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 53.0 %   | OFF     | 3:31    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 3:32    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 3:33    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:34    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:35    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:36    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:37    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:38    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:39    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:40    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:41    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:42    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:43    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:44    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 54.0 %   | OFF     | 3:45    |
| 22.2 °C             | 57.0 %           | 24.9 °C     | OFF      | 54.0 %   | OFF     | 3:46    |
| 22.2 °C             | 57.0 %           | 24.9 °C     | OFF      | 54.0 %   | OFF     | 3:47    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 54.0 %   | OFF     | 3:48    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 54.0 %   | OFF     | 3:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 58.0 %   | OFF     | 3:50    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 58.0 %   | OFF     | 3:51    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 61.0 %   | OFF     | 3:52    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 61.0 %   | OFF     | 3:53    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 61.0 %   | OFF     | 3:54    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 63.0 %   | ON      | 3:55    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 63.0 %   | ON      | 3:56    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 63.0 %   | ON      | 3:57    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 63.0 %   | ON      | 3:58    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 3:59    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:00    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:01    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:02    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:03    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:04    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:05    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:06    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:07    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:08    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:09    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:10    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 64.0 %   | ON      | 4:11    |
